date,equity
2003-10-07,1000.0000000000001
2003-10-08,998.3299071284515
2003-10-09,1005.5259408811888
2003-10-10,996.4938841483432
2003-10-13,1178.7313423281996
2003-10-14,1184.3530087925449
2003-10-15,1185.1113818208094
2003-10-16,1181.7833027164775
2003-10-17,1164.897300614681
2003-10-20,1178.262629072545
2003-10-21,1174.9043908331823
2003-10-22,1148.393337658629
2003-10-23,1148.2255968946922
2003-10-24,1150.972107177327
2003-10-27,1335.806636951229
2003-10-28,1352.1791660815113
2003-10-29,1355.8765529639613
2003-10-30,1361.4574260352945
2003-10-31,1362.2997486994907
2003-11-03,1387.655858563696
2003-11-04,1381.795097043179
2003-11-05,1385.97520896829
2003-11-06,1400.085509135687
2003-11-07,1370.5971432473173
2003-11-10,1536.3704281757882
2003-11-11,1536.840379202597
2003-11-12,1542.3806538460753
2003-11-13,1536.3267383895657
2003-11-14,1529.2802866929974
2003-11-17,1534.8015776059847
2003-11-18,1504.342540824383
2003-11-19,1519.8412362119618
2003-11-20,1507.1142592502788
2003-11-21,1512.112472736508
2003-11-24,1727.4300827628028
2003-11-25,1725.4356781530416
2003-11-26,1722.7089454277357
2003-11-28,1719.7320613118914
2003-12-01,1741.7391260823802
2003-12-02,1728.2430204547861
2003-12-03,1730.0300856048304
2003-12-04,1750.6922215233553
2003-12-05,1728.8299569443948
2003-12-08,1912.2120692019869
2003-12-09,1911.8282550282427
2003-12-10,1915.1683869240596
2003-12-11,1944.5587836793495
2003-12-12,1944.2252731932665
2003-12-15,1935.2657520248838
2003-12-16,1962.045197587757
2003-12-17,1968.151995245863
2003-12-18,1996.080542614186
2003-12-19,1999.095428192188
2003-12-22,2181.422450803362
2003-12-23,2169.0019880119817
2003-12-24,2145.6511705534313
2003-12-26,2151.1499845344406
2003-12-29,2176.316044027802
2003-12-30,2154.099036722955
2003-12-31,2160.4545483440843
2004-01-02,2152.3938691507465
2004-01-05,2336.417959129575
2004-01-06,2347.46928350016
2004-01-07,2359.5194209340766
2004-01-08,2350.0108805650866
2004-01-09,2323.0311150122575
2004-01-12,2342.6452053616586
2004-01-13,2321.7398346452037
2004-01-14,2370.3701215566
2004-01-15,2386.2806560013164
2004-01-16,2399.2718097968477
2004-01-20,2567.0663875844434
2004-01-21,2600.4777850117753
2004-01-22,2584.906081867773
2004-01-23,2608.221574207915
2004-01-26,2639.485732787049
2004-01-27,2603.62477715831
2004-01-28,2612.3996261307343
2004-01-29,2621.3267704024415
2004-01-30,2610.0466209240785
2004-02-02,2822.937607530864
