date,equity
2003-10-07,1000.0
2003-10-08,998.3305687510007
2003-10-09,1005.5260515809958
2003-10-10,996.493446134563
2003-10-13,1178.7312323343194
2003-10-14,1184.3534019138117
2003-10-15,1185.1112712160245
2003-10-16,1181.783066964237
2003-10-17,1164.8973169357741
2003-10-20,1178.262142553901
2003-10-21,1174.9040304638224
2003-10-22,1148.3932305696883
2003-10-23,1148.224992867493
2003-10-24,1150.9715027729542
2003-10-27,1335.8065291524463
2003-10-28,1352.1786331326475
2003-10-29,1355.876726411834
2003-10-30,1361.4573160691584
2003-10-31,1362.2996386621828
2003-11-03,1387.65517105253
2003-11-04,1381.7944113212347
2003-11-05,1385.9756723482142
2003-11-06,1400.085829765884
2003-11-07,1370.5968900132445
2003-11-10,1536.3706016897643
2003-11-11,1536.8394468842653
2003-11-12,1542.3797267578082
2003-11-13,1536.3265961064672
2003-11-14,1529.2815554892868
2003-11-17,1534.8012773676996
2003-11-18,1504.3427144812765
2003-11-19,1519.8403116417956
2003-11-20,1507.1145902223707
2003-11-21,1512.1121761379543
2003-11-24,1727.4294639167485
2003-11-25,1725.4348881251274
2003-11-26,1722.7086782548238
2003-11-28,1719.7319673246527
2003-12-01,1741.7395499937654
2003-12-02,1728.2432700782354
2003-12-03,1730.031026131363
2003-12-04,1750.6926477750178
2003-12-05,1728.8302082053276
2003-12-08,1912.2123186718613
2003-12-09,1911.828317840263
2003-12-10,1915.1686397783587
2003-12-11,1944.55865460899
2003-12-12,1944.2253346614923
2003-12-15,1935.2661951667035
2003-12-16,1962.0452596308712
2003-12-17,1968.1526341372273
2003-12-18,1996.0802166403082
2003-12-19,1999.0951011457119
2003-12-22,2181.4221246918687
2003-12-23,2169.0008354279335
2003-12-24,2145.651874849321
2003-12-26,2151.148431306349
2003-12-29,2176.3155163116003
2003-12-30,2154.1003412659547
2003-12-31,2160.4558558065555
2004-01-02,2152.393753327872
2004-01-05,2336.418244841199
2004-01-06,2347.4695702720082
2004-01-07,2359.520577980756
2004-01-08,2350.0109487865707
2004-01-09,2323.030324784289
2004-01-12,2342.645273652183
2004-01-13,2321.7403323379544
2004-01-14,2370.369537601672
2004-01-15,2386.2794130407865
2004-01-16,2399.271001814141
2004-01-20,2567.0647124584902
2004-01-21,2600.4765675176054
2004-01-22,2584.906503437954
2004-01-23,2608.2210554034964
2004-01-26,2639.4863964249935
2004-01-27,2603.6247314881875
2004-01-28,2612.3993411356864
2004-01-29,2621.3260049226055
2004-01-30,2610.045859070258
2004-02-02,2822.937802059698
2004-02-03,2817.1551717410857
2004-02-04,2792.5536391759415
2004-02-05,2807.896929054014
2004-02-06,2803.951724119618
2004-02-09,2818.434012181935
2004-02-10,2832.253629662444
2004-02-11,2827.5630351009704
2004-02-12,2826.8375656220765
2004-02-13,2819.9740718215453
2004-02-17,3001.392227288538
2004-02-18,3015.6033691140906
2004-02-19,3015.937042078819
2004-02-20,3023.999505842404
2004-02-23,3015.2919392253048
